
10/12/21 05:20:09:430  INFO [main] (JdbcExtractor.java:1069) - insumo.sql | Tempo de execução: 00h 00min 00s 788ms 

10/12/21 05:20:10:064 DEBUG [main] (JdbcExtractor.java:1041) - calculakm.sql | Query a ser executada: select 	CALCULOHODO.TP_DTLEITU, 	trim(CALCULOHODO.TP_CODBEM) as TP_CODBEM, 	min(CALCULOHODO.DIFF) as DIFF_MIN  from 	( 		select 			STP.TP_DTLEITU, 			STP.TP_CODBEM, 			STP.TP_ACUMCON as HOD_ATU, 			CONTADOR.TP_ACUMCON as HOD_ANT, 			STP.TP_ACUMCON - CONTADOR.TP_ACUMCON as DIFF 		from STP010 as STP 			inner join 			( 				select 					STP010.TP_CODBEM, 					STP010.TP_ACUMCON, 					STP010.TP_DTLEITU 				from STP010 				where STP010.D_E_L_E_T_ = '' 			) as CONTADOR 				on CONTADOR.TP_CODBEM = STP.TP_CODBEM 				and CONTADOR.TP_DTLEITU < STP.TP_DTLEITU 	 			left join ST9010 as ST9 				on ST9.D_E_L_E_T_ = '' 				and ST9.T9_CODBEM = STP.TP_CODBEM 		where trim(STP.TP_CODBEM) like '[A-Z]%' 	) CALCULOHODO where CALCULOHODO.DIFF >= 0 group by 	CALCULOHODO.TP_DTLEITU, 	CALCULOHODO.TP_CODBEM 

10/12/21 05:20:12:697  INFO [main] (JdbcExtractor.java:1069) - calculakm.sql | Tempo de execução: 00h 00min 02s 633ms 

10/12/21 05:20:13:445 DEBUG [main] (JdbcExtractor.java:1041) - aquisdeprec.sql | Query a ser executada: select 	trim(isnull(SN1.N1_CBASE, '-')) as N1_CBASE, 	SN1.N1_AQUISIC, 	SN3.N3_DINDEPR, 	SNG.NG_TXDEPR1 /12 as DEPRECMENSAL, 	SN1.N1_QUANTD, 	 	SN3.N3_VORIG1, 	SN3.N3_VORIG2, 	SN3.N3_VORIG3, 	SN3.N3_VORIG4, 	SN3.N3_VORIG5,  	SN3.N3_TXDEPR1, 	SN3.N3_TXDEPR2, 	SN3.N3_TXDEPR3, 	SN3.N3_TXDEPR4, 	SN3.N3_TXDEPR5,  	trim(isnull(CTT.CTT_CUSTO, '-')) as CTT_CUSTO, 	trim(isnull(CTD.CTD_ITEM, '-')) as CTD_ITEM,  	case when (12 * (100 / SNG.NG_TXDEPR1)) > datediff(month, SN3.N3_DINDEPR, getdate()) then SN3.N3_VORIG1 * (SNG.NG_TXDEPR1 / 1200) else 0.0 end as VALDEP  from SN1010 as SN1 (nolock) 	inner join SNG010 as SNG (nolock) 		on SNG.D_E_L_E_T_ = '' 		and SNG.NG_GRUPO = SN1.N1_GRUPO 	left join SN3010 as SN3 (nolock) 		on SN3.D_E_L_E_T_ = '' 		and cast(SN3.N3_TIPO as int) = 1 		and SN3.N3_FILIAL = SN1.N1_FILIAL 		and SN3.N3_CBASE = SN1.N1_CBASE  		left join CTT010 as CTT (nolock) 			on CTT.D_E_L_E_T_ = '' 			and CTT.CTT_CUSTO = SN3.N3_CUSTBEM 			and CTT.CTT_CUSTO = SN3.N3_CCUSTO 		left join CTD010 as CTD (nolock) 			on CTD.D_E_L_E_T_ = '' 			and CTD.CTD_ITEM = SN3.N3_SUBCCON  	left join SD1010 as SD1 (nolock) 		on SD1.D_E_L_E_T_ = '' 		and SN1.N1_FILIAL = SD1.D1_FILIAL 		and SN1.N1_FORNEC = SD1.D1_FORNECE 		and SN1.N1_LOJA = SD1.D1_LOJA 		and SN1.N1_NFISCAL = SD1.D1_DOC 		and SN1.N1_NSERIE = SD1.D1_SDOC 		and SN1.N1_NFITEM = SD1.D1_ITEM  where 		SN3.N3_DINDEPR between '20191210' AND '20211210' 	and cast(SNG.NG_TXDEPR1 as decimal) > 0 	and SN1.D_E_L_E_T_ = '' 

10/12/21 05:20:13:484  INFO [main] (JdbcExtractor.java:1069) - aquisdeprec.sql | Tempo de execução: 00h 00min 00s 38ms 

10/12/21 05:20:14:115 DEBUG [main] (JdbcExtractor.java:1041) - pneu.sql | Query a ser executada: select 	trim(isnull(STJ.TJ_FILIAL, '-')) as TJ_FILIAL, 	trim(isnull(STZ.TZ_ORDEM, '-')) as TZ_ORDEM, 	trim(isnull(STJ.TJ_ORDEM, '-')) as TJ_ORDEM, 	trim(isnull(TR8.TR8_LOTE, '-')) as TR8_LOTE, 	trim(isnull(ST9.T9_CODBEM, '-')) as T9_CODBEM, 	trim(isnull(STZ.TZ_BEMPAI, '-')) as TZ_BEMPAI, 	trim(isnull(ST4.T4_NOME, '-')) as T4_NOME,  	STZ.TZ_POSCONT, 	STZ.TZ_CONTSAI, 	trim(isnull(STZ.TZ_DATAMOV, '-')) as TZ_DATAMOV, 	trim(isnull(STZ.TZ_DATASAI, '-')) as TZ_DATASAI, 	trim(isnull(STZ.TZ_TIPOMOV, '-')) as TZ_TIPOMOV, 	trim(isnull(STZ.TZ_HORAENT, '-')) as TZ_HORAENT, 	trim(isnull(STZ.TZ_HORASAI, '-')) as TZ_HORASAI, 	trim(isnull(TQS.TQS_MEDIDA, '-')) as TQS_MEDIDA, 	trim(isnull(TR4.TR4_NUMANA, '-')) as TR4_NUMANA,  	STJ.TJ_CUSTTER, 	case when substring(STZ.TZ_DATAMOV, 1, 6) = substring(ST9.T9_DTCOMPR, 1, 6) then ST9.T9_VALCPA else 0.0 end as T9_VALCPA, 	trim(isnull(ST9.T9_DTCOMPR, '-')) as T9_DTCOMPR, 	SB1.B1_UPRC,  	TQS.TQS_KMOR, 	TQS.TQS_KMR1, 	TQS.TQS_KMR2, 	TQS.TQS_KMR3, 	TQS.TQS_KMR4, 	TQS.TQS_KMR5, 	TQS.TQS_KMR6, 	TQS.TQS_KMR7, 	case when cast(STZ.TZ_CODBEM as int) > 11140 then 'PNEU NOVO' else 'PNEU ANTIGO' end as TIPO_PNEU  from STJ010 as STJ /* OS da manutenção*/ 	left join TR8010 as TR8 /* movimentação em lote do pneu */ 		on TR8.D_E_L_E_T_ = '' 		and TR8.TR8_FILIAL = STJ.TJ_FILIAL 		and TR8.TR8_ORDEM = STJ.TJ_ORDEM 		and TR8.TR8_PLANO = STJ.TJ_PLANO  		inner join TR7010 as TR7 			on TR7.D_E_L_E_T_ = '' 			and TR7.TR7_FILIAL = TR8.TR8_FILIAL 			and TR7.TR7_LOTE = TR8.TR8_LOTE 			 	inner join TQS010 as TQS /* pneus */ 		on TQS.D_E_L_E_T_ = '' 		and TQS.TQS_CODBEM = STJ.TJ_CODBEM  		inner join ST9010 as ST9 /* bens da manutenção*/ 			on ST9.D_E_L_E_T_ = '' 			and ST9.T9_CODBEM = TQS.TQS_CODBEM  			inner join STZ010 as STZ /* movimentação de bens*/ 				on STZ.D_E_L_E_T_ = '' 				and trim(STZ.TZ_CODBEM) like '[0-9]%' 				and ST9.T9_CODBEM = STZ.TZ_CODBEM  	left join ST4010 as ST4 /* serviços da manutenção*/ 		on ST4.D_E_L_E_T_ = '' 		and ST4.T4_SERVICO = STJ.TJ_SERVICO 	left join STL010 as STL /* detalhes das OS */ 		on STL.D_E_L_E_T_ = '' 		and STL.TL_ORDEM = STJ.TJ_ORDEM 		and STL.TL_PLANO = STJ.TJ_PLANO 		and STL.TL_FILIAL = STJ.TJ_FILIAL  		left join SB1010 as SB1 /* produtos */ 			on SB1.D_E_L_E_T_ = '' 			and SB1.B1_COD = STL.TL_CODIGO 				 	left join TR4010 as TR4 		on 	TR4.D_E_L_E_T_ = '' 		and TR4.TR4_CODBEM = ST9.T9_CODBEM where 		STJ.TJ_DTORIGI between '20191210' AND '20211210' 	and STJ.D_E_L_E_T_ = '' 

10/12/21 05:20:14:947  INFO [main] (JdbcExtractor.java:1069) - pneu.sql | Tempo de execução: 00h 00min 00s 832ms 

10/12/21 05:20:15:561 DEBUG [main] (JdbcExtractor.java:1041) - naturezafinanceira.sql | Query a ser executada: select 	trim(SED.ED_CODIGO) as ED_CODIGO, 	trim(SED.ED_DESCRIC) as ED_DESCRIC from SED010 as SED where SED.D_E_L_E_T_ = '' 

10/12/21 05:20:15:565  INFO [main] (JdbcExtractor.java:1069) - naturezafinanceira.sql | Tempo de execução: 00h 00min 00s 03ms 

10/12/21 05:20:15:930 DEBUG [main] (JdbcExtractor.java:1041) - nfentrada.sql | Query a ser executada: select 	trim(isnull(SF1.F1_FILIAL, '-')) as F1_FILIAL, 	isnull(trim(SF1.F1_FILIAL) + trim(SF1.F1_DOC) + trim(SF1.F1_SDOC) + trim(SF1.F1_FORNECE) + trim(SF1.F1_LOJA), '-') as ID_NF, 	isnull(trim(SA2.A2_COD) + trim(SA2.A2_LOJA), '-') as ID_FORNECE, 	trim(isnull(SF1.F1_DOC, '-')) as F1_DOC, 	trim(isnull(SF1.F1_SDOC, '-')) as F1_SDOC, 	trim(isnull(SF1.F1_DTDIGIT, '-')) as F1_DTDIGIT, 	 	trim(isnull(SD1.D1_ITEM, '-')) as D1_ITEM,  	trim(isnull(SB1.B1_COD, '-')) B1_COD from SF1010 as SF1 (nolock) /* cabeçalho das NFs de entrada */ 	inner join SD1010 as SD1 (nolock) /* itens das NFs de entrada*/ 		on SD1.D_E_L_E_T_ = '' 		and SD1.D1_FILIAL = SF1.F1_FILIAL 		and SD1.D1_DOC = SF1.F1_DOC 		and SD1.D1_SERIE = SF1.F1_SERIE 		and SD1.D1_FORNECE = SF1.F1_FORNECE 		and SD1.D1_LOJA = SF1.F1_LOJA  		left join SB1010 as SB1 /* produtos */ 			on SB1.D_E_L_E_T_ = '' 			and SD1.D1_COD = SB1.B1_COD  	left join SA2010 as SA2 /* fornecedores */ 		on SA2.D_E_L_E_T_ = '' 		and SD1.D1_FORNECE = SA2.A2_COD 		and SD1.D1_LOJA = SA2.A2_LOJA where SF1.D_E_L_E_T_ = '' 

10/12/21 05:20:16:075  INFO [main] (JdbcExtractor.java:1069) - nfentrada.sql | Tempo de execução: 00h 00min 00s 145ms 

10/12/21 05:20:16:686 DEBUG [main] (JdbcExtractor.java:1041) - fabricante.sql | Query a ser executada: select 	trim(ST7.T7_FABRICA) as T7_FABRICA, 	trim(ST7.T7_NOME) as T7_NOME from ST7010 as ST7 where ST7.D_E_L_E_T_ = '' 

10/12/21 05:20:16:689  INFO [main] (JdbcExtractor.java:1069) - fabricante.sql | Tempo de execução: 00h 00min 00s 02ms 

10/12/21 05:20:17:433 DEBUG [main] (JdbcExtractor.java:1041) - produto.sql | Query a ser executada: select 	trim(isnull(SB1.B1_COD, '-')) as B1_COD, 	trim(isnull(SB1.B1_DESC, '-')) as B1_DESC, 	 	trim(isnull(SBM.BM_GRUPO, '-')) as BM_GRUPO, 	trim(isnull(CTT.CTT_CUSTO, '-')) as CTT_CUSTO from SB1010 as SB1 	left join SBM010 as SBM 		on SBM.D_E_L_E_T_ = '' 		and SBM.BM_GRUPO = SB1.B1_GRUPO 	left join CTT010 as CTT 		on CTT.D_E_L_E_T_ = '' 		and CTT.CTT_CUSTO = SB1.B1_CC where SB1.D_E_L_E_T_ = '' 

10/12/21 05:20:17:481  INFO [main] (JdbcExtractor.java:1069) - produto.sql | Tempo de execução: 00h 00min 00s 48ms 

10/12/21 05:20:18:100 DEBUG [main] (JdbcExtractor.java:1041) - ativo.sql | Query a ser executada: select 	trim(isnull(SN1.N1_CBASE, '-')) as N1_CBASE, 	trim(isnull(SN1.N1_DESCRIC, '-')) as N1_DESCRIC, 	trim(isnull(SNG.NG_GRUPO, '-')) as NG_GRUPO, 	trim(isnull(ST9.T9_CODBEM, '-')) as T9_CODBEM,  	isnull(trim(SN1.N1_FILIAL) + trim(SN1.N1_NFISCAL) + trim(SN1.N1_NSERIE) + trim(SN1.N1_FORNEC) + trim(SN1.N1_LOJA), '-') as ID_NF_ATIVO  from SN1010 as SN1 (nolock) 	inner join SNG010 as SNG (nolock) 		on SNG.D_E_L_E_T_ = '' 		and SNG.NG_GRUPO = SN1.N1_GRUPO 	left join SD1010 as SD1 (nolock) 		on SD1.D_E_L_E_T_ = '' 		and SD1.D1_FILIAL = SN1.N1_FILIAL 		and SD1.D1_DOC = SN1.N1_NFISCAL 		and SD1.D1_SDOC = SN1.N1_NSERIE 		and SD1.D1_FORNECE = SN1.N1_FORNEC 		and SD1.D1_LOJA = SN1.N1_LOJA 		and SD1.D1_ITEM = SN1.N1_NFITEM 	left join ST9010 as ST9 (nolock) 		on ST9.D_E_L_E_T_ = '' 		and ST9.T9_CODBEM = SN1.N1_CODBEM where SN1.D_E_L_E_T_ = '' 

10/12/21 05:20:18:149  INFO [main] (JdbcExtractor.java:1069) - ativo.sql | Tempo de execução: 00h 00min 00s 48ms 

10/12/21 05:20:18:509 DEBUG [main] (JdbcExtractor.java:1041) - filial.sql | Query a ser executada: 	SELECT 'P |01|01010101' AS BK_FILIAL,'010101' AS COD_FILIAL,'Matriz' AS DESC_FILIAL,'01' AS COD_UNINEG,'Unilink' AS DESC_UNINEG from SRC010 UNION  	SELECT 'P |01|01010102' AS BK_FILIAL,'010102' AS COD_FILIAL,'Pecem' AS DESC_FILIAL,'01' AS COD_UNINEG,'Unilink' AS DESC_UNINEG from SRC010 UNION  	SELECT 'P |01|01      ' AS BK_FILIAL,'01      ' AS COD_FILIAL,'Unilink - COMPARTILHADA' AS DESC_FILIAL,'' AS COD_UNINEG,'' AS DESC_UNINEG from SRC010 UNION  	SELECT 'P |01|0101    ' AS BK_FILIAL,'0101    ' AS COD_FILIAL,'Unilink - COMPARTILHADA' AS DESC_FILIAL,'' AS COD_UNINEG,'' AS DESC_UNINEG from SRC010 UNION  	SELECT 'P |01|010101  ' AS BK_FILIAL,'010101  ' AS COD_FILIAL,'Unilink - COMPARTILHADA' AS DESC_FILIAL,'' AS COD_UNINEG,'' AS DESC_UNINEG from SRC010 UNION 	SELECT 'P |01||' as BK_FILIAL,'01 - INDEFINIDO' as COD_FILIAL,'01 - INDEFINIDO' as DESC_FILIAL,'01 - INDEFINIDO' as COD_UNINEG,'01 - INDEFINIDO' as DESC_UNINEG from SRC010                

10/12/21 05:20:18:536  INFO [main] (JdbcExtractor.java:1069) - filial.sql | Tempo de execução: 00h 00min 00s 26ms 

10/12/21 05:20:18:904 DEBUG [main] (JdbcExtractor.java:1041) - ccusto.sql | Query a ser executada: select 	trim(CTT.CTT_CUSTO) as CTT_CUSTO, 	trim(CTT.CTT_DESC01) as CTT_DESC01 from CTT010 as CTT where CTT.D_E_L_E_T_ = '' 

10/12/21 05:20:18:907  INFO [main] (JdbcExtractor.java:1069) - ccusto.sql | Tempo de execução: 00h 00min 00s 03ms 

