
15/11/22 16:20:21:264  INFO [main] (JdbcExtractor.java:1069) - calculakm.sql | Tempo de execução: 00h 00min 09s 995ms 

15/11/22 16:20:22:725 DEBUG [main] (JdbcExtractor.java:1041) - temposervicos.sql | Query a ser executada: select 	STJ.TJ_FILIAL, 	trim(isnull(STJ.TJ_CODBEM, '-')) as TJ_CODBEM, 	STJ.TJ_SERVICO, 	trim(isnull(SA2.A2_COD + SA2.A2_LOJA, '-')) as ID_FORNECEDOR, 	STJ.TJ_ORDEM, 	STJ.TJ_DTORIGI, 	trim(isnull(STJ.TJ_TERMINO, '-')) as TJ_TERMINO, 	STL.TL_DTINICI, 	STJ.TJ_DTPRFIM,  	case when year(SC1.C1_EMISSAO) = 1900 then datediff(day, STJ.TJ_DTORIGI, getdate()) else datediff(day, STJ.TJ_DTORIGI, SC1.C1_EMISSAO) end as DIAS_OS_SC, 	case when year(APRSC1.CR_DATALIB) = 1900 then datediff(day, SC1.C1_EMISSAO, getdate()) else datediff(day, SC1.C1_EMISSAO, APRSC1.CR_DATALIB) end as DIAS_SC_APRSC, 	case when year(SC7.C7_EMISSAO) = 1900 then datediff(day, APRSC1.CR_DATALIB, getdate()) else datediff(day, APRSC1.CR_DATALIB, SC7.C7_EMISSAO) end as DIAS_APRSC_PC,  	trim(isnull(SC1.C1_NUM, '-')) as NUM_SC, 	trim(isnull(SC1.C1_SOLICIT, '-')) as SOLICITANTE_SC, 	SC1.C1_EMISSAO,  	case SC1.C1_APROV 		when 'B' then 'PENDENTE' 		when 'L' then 'APROVADO' 		when 'R' then 'REJEITADO' 		else 'OUTROS' 	end as SITAPR_SC,  	NOMEAPRSC1.AK_LOGIN as APROVA_SC, 	APRSC1.CR_DATALIB as DATAAPR_SC,  	case when year(APRSC7.CR_DATALIB) = 1900 then datediff(day, SC7.C7_EMISSAO, getdate()) else datediff(day, SC7.C7_EMISSAO, APRSC7.CR_DATALIB) end as DIAS_PC_APRPC, 	case when year(SD1.D1_DTDIGIT) = 1900 then datediff(day, APRSC7.CR_DATALIB, getdate()) else datediff(day, APRSC7.CR_DATALIB, SD1.D1_DTDIGIT) end as DIAS_APRPC_NF,  	trim(isnull(SC7.C7_NUM, '-')) as NUM_PC, 	trim(isnull(SY1.Y1_NOME, '-')) as SOLICITANTE_PC, 	SC7.C7_EMISSAO,  	case SC7.C7_CONAPRO 		when 'B' then 'PENDENTE' 		when 'L' then 'APROVADO' 		when 'R' then 'REJEITADO' 		else 'OUTROS' 	end as SITAPR_PC,  	NOMEAPRSC7.AK_LOGIN as APROVA_PC, 	APRSC7.CR_DATALIB as DATAAPR_PC,  	case when cast(SC7.C7_QUJE as decimal) >= cast(SC7.C7_QUANT as decimal) then 'RECEBIDO' /* VERMELHO */ 	else 		case when cast(SC7.C7_QUJE as decimal) != 0.0 and cast(SC7.C7_QUJE as decimal) < cast(SC7.C7_QUANT as decimal) then 'REC. PARCIAL' /* AMARELO */ 		else 			case when cast(SC7.C7_QTDACLA as decimal) > 0.0 then 'PRÉ-NOTA' /* LARANJA */ 			else 				case when trim(SC7.C7_CONAPRO) = 'B' and cast(SC7.C7_QUJE as decimal) < cast(SC7.C7_QUANT as decimal) then 'BLOQUEADO' /* AZUL */ 				else 'NÃO COMPRADO' 				end 			end 		end 	end as STATUS_COMPRA,  	trim(isnull(SD1.D1_DOC, '-')) as DOC, 	trim(isnull(SD1.D1_SERIE, '-')) as SERIE,  	SD1.D1_EMISSAO, 	SD1.D1_DTDIGIT as DATA_NF,  	case when year(STJ.TJ_DTPRFIM) = 1900 then datediff(day, STJ.TJ_DTORIGI, getdate()) else datediff(day, SD1.D1_DTDIGIT, STJ.TJ_DTPRFIM) end as DIAS_NF_FIMMNT,  	case STJ.TJ_TERCEIR 		when 1 then 'N' 		when 2 then	'S' 		else '-' 	end as TJ_TERCEIR,  	case when SD1.D1_DOC is not null then 'NF CLASSIFICADA' 	else 		case when APRSC7.CR_LIBAPRO is not null then 'PEDIDO APROVADO' 		else 			case when SC7.C7_NUM is not null then 'APROVAÇÃO PEDIDO PENDENTE' 			else 				case when APRSC1.CR_LIBAPRO is not null then 'SOLICITAÇÃO APROVADA' 				else 					case when SC1.C1_NUM is not null then 'APROVAÇÃO SOLICITAÇÃO PENDENTE' 					else 'OUTROS' 					end 				end 			end 		end 	end as STATUS_SERVICO  from STJ010 as STJ (nolock) 	inner join ST9010 ST9 (nolock) 		on ST9.D_E_L_E_T_ = '' 		and ST9.T9_CODBEM = STJ.TJ_CODBEM 	left join STL010 as STL (nolock) 		on STL.D_E_L_E_T_ = '' 		and STL.TL_ORDEM = STJ.TJ_ORDEM 		and STL.TL_PLANO = STJ.TJ_PLANO 		and STL.TL_FILIAL = STJ.TJ_FILIAL  		inner join SC1010 as SC1 (nolock) 			on SC1.D_E_L_E_T_ = '' 			and SC1.C1_NUM = STL.TL_NUMSC 			and SC1.C1_ITEM = STL.TL_ITEMSC 			and SC1.C1_FORNECE = STL.TL_FORNEC 			and SC1.C1_LOJA = STL.TL_LOJA 			and substring(SC1.C1_OP, 1, 6) = STL.TL_ORDEM  			left join SCR010 APRSC1 (nolock) 				on APRSC1.D_E_L_E_T_ = '' 				and APRSC1.CR_NUM = SC1.C1_NUM 				and APRSC1.CR_TIPO = 'SC'  				left join SAK010 NOMEAPRSC1 (nolock) 					on NOMEAPRSC1.D_E_L_E_T_ = '' 					and NOMEAPRSC1.AK_COD = APRSC1.CR_LIBAPRO  			left join SC7010 as SC7 (nolock) 				on SC7.D_E_L_E_T_ = '' 				and SC7.C7_NUMSC = SC1.C1_NUM 				and SC7.C7_ITEMSC = SC1.C1_ITEM 				and SC7.C7_PRODUTO = SC1.C1_PRODUTO 				and SC7.C7_FORNECE = SC1.C1_FORNECE 				and SC7.C7_LOJA = SC1.C1_LOJA  				left join SCR010 APRSC7 (nolock) 					on APRSC7.D_E_L_E_T_ = '' 					and APRSC7.CR_NUM = SC7.C7_NUM 					and APRSC7.CR_TIPO = 'PC'  					left join SAK010 NOMEAPRSC7 (nolock) 						on NOMEAPRSC7.D_E_L_E_T_ = '' 						and NOMEAPRSC7.AK_COD = APRSC7.CR_LIBAPRO  				left join SY1010 SY1 (nolock) 					on SY1.D_E_L_E_T_ = '' 					and SY1.Y1_USER = SC7.C7_USER 				left join SA2010 SA2 (nolock) 					on SA2.D_E_L_E_T_ = '' 					and SA2.A2_COD = SC7.C7_FORNECE 					and SA2.A2_LOJA = SC7.C7_LOJA  				left join SD1010 SD1 (nolock) 					on SD1.D_E_L_E_T_ = '' 					and SD1.D1_PEDIDO = SC7.C7_NUM 					and SD1.D1_ITEMPC = SC7.C7_ITEM 					and SD1.D1_FORNECE = SC7.C7_FORNECE 					and SD1.D1_LOJA = SC7.C7_LOJA 					and SD1.D1_COD = SC7.C7_PRODUTO where 		STJ.D_E_L_E_T_ = '' 	and ST9.T9_CODFAMI != 'PN' 

15/11/22 16:20:23:574  INFO [main] (JdbcExtractor.java:1069) - temposervicos.sql | Tempo de execução: 00h 00min 00s 849ms 

15/11/22 16:20:24:176 DEBUG [main] (JdbcExtractor.java:1041) - aquisdeprec.sql | Query a ser executada: select 	trim(isnull(SN1.N1_CBASE, '-')) as N1_CBASE, 	SN3.N3_DINDEPR, 	SNG.NG_TXDEPR1 /12 as DEPRECMENSAL, 	SN1.N1_QUANTD, 	 	SN3.N3_VORIG1, 	SN3.N3_VORIG2, 	SN3.N3_VORIG3, 	SN3.N3_VORIG4, 	SN3.N3_VORIG5,  	SN3.N3_TXDEPR1, 	SN3.N3_TXDEPR2, 	SN3.N3_TXDEPR3, 	SN3.N3_TXDEPR4, 	SN3.N3_TXDEPR5,  	trim(isnull(CTT.CTT_CUSTO, '-')) as CTT_CUSTO, 	trim(isnull(CTD.CTD_ITEM, '-')) as CTD_ITEM,  	case when (12 * (100 / SNG.NG_TXDEPR1)) > datediff(month, SN3.N3_DINDEPR, getdate()) then SN3.N3_VORIG1 * (SNG.NG_TXDEPR1 / 1200) else 0.0 end as VALDEP  from SN1010 as SN1 (nolock) 	inner join SNG010 as SNG (nolock) 		on SNG.D_E_L_E_T_ = '' 		and SNG.NG_GRUPO = SN1.N1_GRUPO 	left join SN3010 as SN3 (nolock) 		on SN3.D_E_L_E_T_ = '' 		and cast(SN3.N3_TIPO as int) = 1 		and SN3.N3_FILIAL = SN1.N1_FILIAL 		and SN3.N3_CBASE = SN1.N1_CBASE  		left join CTT010 as CTT (nolock) 			on CTT.D_E_L_E_T_ = '' 			and CTT.CTT_CUSTO = SN3.N3_CUSTBEM 			and CTT.CTT_CUSTO = SN3.N3_CCUSTO 		left join CTD010 as CTD (nolock) 			on CTD.D_E_L_E_T_ = '' 			and CTD.CTD_ITEM = SN3.N3_SUBCCON  	left join SD1010 as SD1 (nolock) 		on SD1.D_E_L_E_T_ = '' 		and SN1.N1_FILIAL = SD1.D1_FILIAL 		and SN1.N1_FORNEC = SD1.D1_FORNECE 		and SN1.N1_LOJA = SD1.D1_LOJA 		and SN1.N1_NFISCAL = SD1.D1_DOC 		and SN1.N1_NSERIE = SD1.D1_SDOC 		and SN1.N1_NFITEM = SD1.D1_ITEM  where 		SN3.N3_DINDEPR between '20201115' AND '20221115' 	and cast(SNG.NG_TXDEPR1 as decimal) > 0 	and SN1.D_E_L_E_T_ = '' 

15/11/22 16:20:24:195  INFO [main] (JdbcExtractor.java:1069) - aquisdeprec.sql | Tempo de execução: 00h 00min 00s 19ms 
